latitude,longitude,new_order,building_name,building_address,list_subdata_1_title,list_subdata_1,data_1_title,data_1,data_2_title,data_2,data_3_title,data_3,data_4_title,data_4,data_5_title,data_5,data_6_title,data_6,data_7_title,data_7,image_name
33.415478,-111.83378,1,One MacDonald Center,"1 N MacDonald Dr Mesa, AZ, 85201-7339",Available SF,"59,843",Rentable Building Area,"59,843",Available SF,"59,843",Building Status,Delivered,Delivery Date,,Submarket,Retail,Developer,,Leasing Company,,http://reap.cassidyturley.com/filecabinet/cass438970/Property/042597/1%20n%20macdonald.jpg
33.4147086,-111.8292913,2,,"63 E Main St Mesa, AZ, 85201-7417",Available SF,"70,000",Rentable Building Area,"70,000",Available SF,"70,000",Building Status,,Delivery Date,,Submarket,Executive Suite,Developer,,Leasing Company,,
33.4156608,-111.8250499,3,,"222 E Main St Mesa, AZ, 85201",Available SF,"21,222",Rentable Building Area,"21,222",Available SF,"21,222",Building Status,,Delivery Date,,Submarket,Office Building,Developer,,Leasing Company,,
33.4146555,-111.8254391,4,Benedictine University,"225 E Main St Mesa, AZ, 85201-7432",Available SF,"66,531",Rentable Building Area,"66,531",Available SF,"66,531",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4146807,-111.8239864,5,305 East Main,"305 E Main St Mesa, AZ, 85201-7426",Available SF,"50,018",Rentable Building Area,"50,018",Available SF,"50,018",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4147894,-111.8336138,6,Bank of America,"63 W Main St Mesa, AZ, 85201-7307",Available SF,"23,490",Rentable Building Area,"23,490",Available SF,"23,490",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.3924818,-111.8564509,7,The Mesa Tower,"1201 S Alma School Rd Mesa, AZ, 85210-2008",Available SF,"311,132",Rentable Building Area,"311,132",Available SF,"311,132",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.392616,-111.8582518,8,Fiesta Square,"1220 S Alma School Rd Mesa, AZ, 85210-2068",Available SF,"34,535",Rentable Building Area,"34,535",Available SF,"34,535",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.3943591,-111.8653204,9,Centrica,"1550 W Southern Ave Mesa, AZ, 85202-4817",Available SF,"116,982",Rentable Building Area,"116,982",Available SF,"116,982",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4335057,-111.8608614,10,WayPoint 3,"1130 N Alma School Rd Mesa, AZ, 85201",Available SF,"153,134",Rentable Building Area,"153,134",Available SF,"153,134",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4349786,-111.8605949,11,WayPoint 1,"1138 N Alma School Rd Mesa, AZ, 85201-6695",Available SF,"83,264",Rentable Building Area,"83,264",Available SF,"83,264",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4360553,-111.8589098,12,WayPoint 2,"1146 N Alma School Rd Mesa, AZ, 85201-3000",Available SF,"81,597",Rentable Building Area,"81,597",Available SF,"81,597",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4354086,-111.8572517,13,WayPoint 4,"1150 N Alma School Rd Mesa, AZ, 85201-3000",Available SF,"108,956",Rentable Building Area,"108,956",Available SF,"108,956",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4528942,-111.9897396,14,Three Gateway,"410 N 44th St Phoenix, AZ, 85008-7605",Available SF,"222,118",Rentable Building Area,"222,118",Available SF,"222,118",Building Status,,Delivery Date,,Submarket,Office,Developer,,Leasing Company,,
33.45318,-111.987871,15,One Gateway,"426 N 44th St Phoenix, AZ, 85008-6508",Available SF,"107,755",Rentable Building Area,"107,755",Available SF,"107,755",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.453798,-111.987953,16,Two Gateway,"432 N 44th St Phoenix, AZ, 85008-7601",Available SF,"109,682",Rentable Building Area,"109,682",Available SF,"109,682",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.454332,-111.989014,17,Four Gateway,"444 N 44th St Phoenix, AZ, 85008-7624",Available SF,"138,240",Rentable Building Area,"138,240",Available SF,"138,240",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4541527,-111.9866237,18,501 Gateway,"501 N 44th St Phoenix, AZ, 85008-6526",Available SF,"103,219",Rentable Building Area,"103,219",Available SF,"103,219",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.482415,-111.9863814,19,Concord Place,"2999 N 44th St Phoenix, AZ, 85018-7246",Available SF,"133,522",Rentable Building Area,"133,522",Available SF,"133,522",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4835447,-111.9858515,20,Forum North 44,"3033 N 44th St Phoenix, AZ, 85018-7226",Available SF,"117,611",Rentable Building Area,"117,611",Available SF,"117,611",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4506462,-111.9838089,21,American Family Mutual Insurance Co.,"225 N 45th St Phoenix, AZ, 85034-1901",Available SF,"118,324",Rentable Building Area,"118,324",Available SF,"118,324",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.496094,-111.9946717,22,Forty20,"4020 E Indian School Rd Phoenix, AZ, 85018-5220",Available SF,"38,029",Rentable Building Area,"38,029",Available SF,"38,029",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4508097,-111.9905849,23,Airport Tech Center (4127 Building),"4127 E Van Buren St Phoenix, AZ, 85008-6932",Available SF,"199,677",Rentable Building Area,"199,677",Available SF,"199,677",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4495329,-111.9910928,24,Airport Tech Center (4129 Building),"4129 E Van Buren St Phoenix, AZ, 85008-6939",Available SF,"121,490",Rentable Building Area,"121,490",Available SF,"121,490",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4518927,-111.9847193,25,East Gateway Centre I,"4646 E Van Buren St Phoenix, AZ, 85008-6915",Available SF,"115,451",Rentable Building Area,"115,451",Available SF,"115,451",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4528781,-111.984716,26,East Gateway Centre II,"4686 E Van Buren St Phoenix, AZ, 85008-6959",Available SF,"115,451",Rentable Building Area,"115,451",Available SF,"115,451",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4484206,-111.9837061,27,,"4600 E Washington St Phoenix, AZ, 85034",Available SF,"188,145",Rentable Building Area,"188,145",Available SF,"188,145",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4059482,-111.9867235,28,Bldg 17 - Phase V,"4550 S 44th Pl Phoenix, AZ, 85040-4011",Available SF,"54,489",Rentable Building Area,"54,489",Available SF,"54,489",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4053165,-111.9878319,29,Bldg 16 - Phase V,"4610 S 44th Pl Phoenix, AZ, 85040",Available SF,"66,012",Rentable Building Area,"66,012",Available SF,"66,012",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4039825,-111.9862715,30,Bldg 14 - Phase IV,"4750 S 44th Pl Phoenix, AZ, 85040",Available SF,"158,992",Rentable Building Area,"158,992",Available SF,"158,992",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4042628,-111.9847193,31,Cotton Center Building 19,"4755 S 44th Pl Phoenix, AZ, 85040",Available SF,"82,951",Rentable Building Area,"82,951",Available SF,"82,951",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4274299,-111.97992,32,Avnet Global Headquarters,"2211 S 47th St Phoenix, AZ, 85034-6403",Available SF,"176,402",Rentable Building Area,"176,402",Available SF,"176,402",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4199041,-111.9810199,33,One Compass Center,"3150 S 48th St Phoenix, AZ, 85040-1709",Available SF,"136,194",Rentable Building Area,"136,194",Available SF,"136,194",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.402958,-111.979141,34,Mutual of Omaha,"4950 S 48th St Phoenix, AZ, 85040",Available SF,"73,377",Rentable Building Area,"73,377",Available SF,"73,377",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4080839,-112.0151738,35,Riverpoint-Bldg # 2,"3100 E Broadway Rd Phoenix, AZ, 85040",Available SF,"61,316",Rentable Building Area,"61,316",Available SF,"61,316",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4060189,-111.9925251,36,Allred Broadway Center,"4141 E Broadway Rd Phoenix, AZ, 85040-8831",Available SF,"215,634",Rentable Building Area,"215,634",Available SF,"215,634",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
